game_id,inning,team,true_outcome,anything_else,true_outcome_result,var,value
ANA201705070,4,1,2.0,2,0.0,hometeam,ANA
ANA201705070,5,1,4.0,4,0.0,hometeam,ANA
ANA201705070,6,1,6.0,1,5.0,hometeam,ANA
ANA201705070,7,1,2.0,2,0.0,hometeam,ANA
ANA201705070,8,1,2.0,3,-1.0,hometeam,ANA
ANA201705070,9,1,4.0,1,3.0,hometeam,ANA
ANA201705110,1,0,4.0,4,0.0,visteam,DET
ANA201705110,2,0,4.0,5,-1.0,visteam,DET
ANA201705110,3,0,2.0,4,-2.0,visteam,DET
ANA201705110,4,0,2.0,2,0.0,visteam,DET
ANA201705110,5,0,2.0,2,0.0,visteam,DET
ANA201705110,6,0,0.0,3,-3.0,visteam,DET
ANA201705110,7,0,0.0,3,-3.0,visteam,DET
ANA201705110,8,0,4.0,4,0.0,visteam,DET
ANA201705110,9,0,10.0,2,8.0,visteam,DET
ANA201705110,1,1,2.0,2,0.0,hometeam,ANA
ANA201705110,2,1,2.0,2,0.0,hometeam,ANA
ANA201705110,3,1,4.0,3,1.0,hometeam,ANA
ANA201705110,4,1,2.0,3,-1.0,hometeam,ANA
ANA201705110,5,1,4.0,3,1.0,hometeam,ANA
ANA201705110,6,1,2.0,2,0.0,hometeam,ANA
ANA201705110,7,1,4.0,2,2.0,hometeam,ANA
ANA201705110,8,1,4.0,2,2.0,hometeam,ANA
ANA201705110,9,1,0.0,4,-4.0,hometeam,ANA
ANA201705120,1,0,2.0,2,0.0,visteam,DET
ANA201705120,2,0,4.0,4,0.0,visteam,DET
ANA201705120,3,0,4.0,2,2.0,visteam,DET
ANA201705120,4,0,6.0,0,6.0,visteam,DET
ANA201705120,5,0,0.0,3,-3.0,visteam,DET
ANA201705120,6,0,0.0,3,-3.0,visteam,DET
ANA201705120,7,0,4.0,2,2.0,visteam,DET
ANA201705120,8,0,0.0,3,-3.0,visteam,DET
ANA201705120,9,0,0.0,3,-3.0,visteam,DET
ANA201705120,1,1,0.0,3,-3.0,hometeam,ANA
ANA201705120,2,1,4.0,6,-2.0,hometeam,ANA
ANA201705120,3,1,2.0,2,0.0,hometeam,ANA
ANA201705120,4,1,0.0,5,-5.0,hometeam,ANA
ANA201705120,5,1,4.0,4,0.0,hometeam,ANA
ANA201705120,6,1,2.0,5,-3.0,hometeam,ANA
ANA201705120,7,1,2.0,3,-1.0,hometeam,ANA
ANA201705120,8,1,6.0,3,3.0,hometeam,ANA
ANA201705130,1,0,4.0,2,2.0,visteam,DET
ANA201705130,2,0,4.0,3,1.0,visteam,DET
ANA201705130,3,0,0.0,3,-3.0,visteam,DET
ANA201705130,4,0,6.0,3,3.0,visteam,DET
ANA201705130,5,0,2.0,3,-1.0,visteam,DET
ANA201705130,6,0,4.0,3,1.0,visteam,DET
ANA201705130,7,0,4.0,1,3.0,visteam,DET
ANA201705130,8,0,2.0,2,0.0,visteam,DET
ANA201705130,9,0,6.0,1,5.0,visteam,DET
ANA201705130,1,1,2.0,3,-1.0,hometeam,ANA
ANA201705130,2,1,2.0,4,-2.0,hometeam,ANA
ANA201705130,3,1,4.0,3,1.0,hometeam,ANA
ANA201705130,4,1,2.0,2,0.0,hometeam,ANA
ANA201705130,5,1,2.0,6,-4.0,hometeam,ANA
ANA201705130,6,1,2.0,4,-2.0,hometeam,ANA
ANA201705130,7,1,4.0,2,2.0,hometeam,ANA
ANA201705130,8,1,2.0,2,0.0,hometeam,ANA
ANA201705130,9,1,6.0,0,6.0,hometeam,ANA
ANA201705140,1,0,2.0,4,-2.0,visteam,DET
ANA201705140,2,0,2.0,2,0.0,visteam,DET
ANA201705140,3,0,2.0,3,-1.0,visteam,DET
ANA201705140,4,0,4.0,1,3.0,visteam,DET
ANA201705140,5,0,6.0,1,5.0,visteam,DET
ANA201705140,6,0,2.0,2,0.0,visteam,DET
ANA201705140,7,0,2.0,3,-1.0,visteam,DET
ANA201705140,8,0,2.0,3,-1.0,visteam,DET
ANA201705140,9,0,2.0,2,0.0,visteam,DET
ANA201705140,1,1,2.0,3,-1.0,hometeam,ANA
ANA201705140,2,1,8.0,2,6.0,hometeam,ANA
ANA201705140,3,1,8.0,2,6.0,hometeam,ANA
ANA201705140,4,1,4.0,2,2.0,hometeam,ANA
ANA201705140,5,1,4.0,3,1.0,hometeam,ANA
ANA201705140,6,1,4.0,3,1.0,hometeam,ANA
ANA201705140,7,1,0.0,5,-5.0,hometeam,ANA
ANA201705140,8,1,6.0,2,4.0,hometeam,ANA
ANA201705150,1,0,2.0,2,0.0,visteam,CHA
ANA201705150,2,0,2.0,2,0.0,visteam,CHA
ANA201705150,3,0,2.0,2,0.0,visteam,CHA
ANA201705150,4,0,2.0,4,-2.0,visteam,CHA
ANA201705150,5,0,2.0,5,-3.0,visteam,CHA
ANA201705150,6,0,0.0,4,-4.0,visteam,CHA
ANA201705150,7,0,2.0,2,0.0,visteam,CHA
ANA201705150,8,0,2.0,3,-1.0,visteam,CHA
ANA201705150,9,0,8.0,2,6.0,visteam,CHA
ANA201705150,1,1,2.0,2,0.0,hometeam,ANA
ANA201705150,2,1,2.0,4,-2.0,hometeam,ANA
ANA201705150,3,1,0.0,3,-3.0,hometeam,ANA
ANA201705150,4,1,2.0,2,0.0,hometeam,ANA
ANA201705150,5,1,8.0,3,5.0,hometeam,ANA
ANA201705150,6,1,2.0,3,-1.0,hometeam,ANA
ANA201705150,7,1,6.0,2,4.0,hometeam,ANA
ANA201705150,8,1,2.0,3,-1.0,hometeam,ANA
ANA201705160,1,0,0.0,4,-4.0,visteam,CHA
ANA201705160,2,0,0.0,3,-3.0,visteam,CHA
ANA201705160,3,0,0.0,3,-3.0,visteam,CHA
ANA201705160,4,0,2.0,2,0.0,visteam,CHA
ANA201705160,5,0,0.0,5,-5.0,visteam,CHA
ANA201705160,6,0,2.0,4,-2.0,visteam,CHA
ANA201705160,7,0,2.0,2,0.0,visteam,CHA
ANA201705160,8,0,2.0,3,-1.0,visteam,CHA
ANA201705160,9,0,2.0,7,-5.0,visteam,CHA
ANA201705160,10,0,2.0,2,0.0,visteam,CHA
ANA201705160,11,0,8.0,1,7.0,visteam,CHA
ANA201705160,1,1,2.0,4,-2.0,hometeam,ANA
ANA201705160,2,1,2.0,2,0.0,hometeam,ANA
ANA201705160,3,1,2.0,6,-4.0,hometeam,ANA
ANA201705160,4,1,4.0,5,-1.0,hometeam,ANA
ANA201705160,5,1,2.0,2,0.0,hometeam,ANA
ANA201705160,6,1,0.0,3,-3.0,hometeam,ANA
ANA201705160,7,1,6.0,4,2.0,hometeam,ANA
ANA201705160,8,1,2.0,2,0.0,hometeam,ANA
ANA201705160,9,1,2.0,2,0.0,hometeam,ANA
ANA201705160,10,1,0.0,3,-3.0,hometeam,ANA
ANA201705160,11,1,2.0,6,-4.0,hometeam,ANA
ANA201705170,1,0,8.0,3,5.0,visteam,CHA
ANA201705170,2,0,4.0,4,0.0,visteam,CHA
ANA201705170,3,0,4.0,2,2.0,visteam,CHA
ANA201705170,4,0,0.0,3,-3.0,visteam,CHA
ANA201705170,5,0,2.0,2,0.0,visteam,CHA
ANA201705170,6,0,4.0,2,2.0,visteam,CHA
ANA201705170,7,0,0.0,3,-3.0,visteam,CHA
ANA201705170,8,0,6.0,5,1.0,visteam,CHA
ANA201705170,9,0,6.0,2,4.0,visteam,CHA
ANA201705170,1,1,4.0,2,2.0,hometeam,ANA
ANA201705170,2,1,8.0,5,3.0,hometeam,ANA
ANA201705170,3,1,0.0,3,-3.0,hometeam,ANA
ANA201705170,4,1,0.0,4,-4.0,hometeam,ANA
ANA201705170,5,1,0.0,3,-3.0,hometeam,ANA
ANA201705170,6,1,6.0,5,1.0,hometeam,ANA
ANA201705170,7,1,2.0,6,-4.0,hometeam,ANA
ANA201705170,8,1,2.0,2,0.0,hometeam,ANA
ANA201705290,1,0,0.0,4,-4.0,visteam,ATL
ANA201705290,2,0,4.0,1,3.0,visteam,ATL
ANA201705290,3,0,4.0,9,-5.0,visteam,ATL
ANA201705290,4,0,6.0,0,6.0,visteam,ATL
ANA201705290,5,0,2.0,2,0.0,visteam,ATL
ANA201705290,6,0,4.0,1,3.0,visteam,ATL
ANA201705290,7,0,0.0,3,-3.0,visteam,ATL
ANA201705290,8,0,6.0,0,6.0,visteam,ATL
ANA201705290,9,0,0.0,3,-3.0,visteam,ATL
ANA201705290,1,1,0.0,3,-3.0,hometeam,ANA
ANA201705290,2,1,8.0,0,8.0,hometeam,ANA
ANA201705290,3,1,0.0,3,-3.0,hometeam,ANA
ANA201705290,4,1,6.0,2,4.0,hometeam,ANA
ANA201705290,5,1,4.0,5,-1.0,hometeam,ANA
ANA201705290,6,1,0.0,3,-3.0,hometeam,ANA
ANA201705290,7,1,2.0,4,-2.0,hometeam,ANA
ANA201705290,8,1,2.0,3,-1.0,hometeam,ANA
ANA201705290,9,1,4.0,2,2.0,hometeam,ANA
ANA201705300,1,0,2.0,4,-2.0,visteam,ATL
ANA201705300,2,0,2.0,2,0.0,visteam,ATL
ANA201705300,3,0,6.0,2,4.0,visteam,ATL
ANA201705300,4,0,4.0,1,3.0,visteam,ATL
ANA201705300,5,0,0.0,3,-3.0,visteam,ATL
ANA201705300,6,0,0.0,3,-3.0,visteam,ATL
ANA201705300,7,0,4.0,3,1.0,visteam,ATL
ANA201705300,8,0,0.0,3,-3.0,visteam,ATL
ANA201705300,9,0,2.0,2,0.0,visteam,ATL
ANA201705300,1,1,4.0,3,1.0,hometeam,ANA
ANA201705300,2,1,2.0,2,0.0,hometeam,ANA
ANA201705300,3,1,4.0,12,-8.0,hometeam,ANA
ANA201705300,4,1,0.0,4,-4.0,hometeam,ANA
ANA201705300,5,1,0.0,4,-4.0,hometeam,ANA
ANA201705300,6,1,8.0,2,6.0,hometeam,ANA
ANA201705300,7,1,0.0,3,-3.0,hometeam,ANA
ANA201705300,8,1,4.0,1,3.0,hometeam,ANA
ANA201705310,1,0,0.0,3,-3.0,visteam,ATL
ANA201705310,2,0,2.0,4,-2.0,visteam,ATL
ANA201705310,3,0,0.0,3,-3.0,visteam,ATL
ANA201705310,4,0,2.0,2,0.0,visteam,ATL
