1,10,2,3,4,5,6,7,8,9,game_id,home_away
tillc001,trumm001,castw002,davic003,schoj001,machm001,hardj003,manct001,rickj001,smits002,BAL201705300,home
sevel001,hollm001,sancg002,refsr001,casts001,headc001,gregd001,gardb001,hicka001,judga001,BAL201705300,away
gausk001,trumm001,josec002,davic003,schoj001,machm001,hardj003,manct001,jonea003,smits002,BAL201705310,home
tanam001,hollm001,romia002,refsr001,casts001,headc001,torrr001,gardb001,hicka001,judga001,BAL201705310,away
milew001,manct001,josec002,davic003,schoj001,machm001,hardj003,rickj001,jonea003,trumm001,BAL201706010,home
rodre004,ramih003,vazqc001,travs001,rutlj001,marrd001,bogax001,younc004,bradj001,bettm001,BAL201706010,away
ashea001,trumm001,josec002,davic003,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201706020,home
porcr001,ramih003,leons001,morem001,rutlj001,sandp001,bogax001,benia002,bradj001,bettm001,BAL201706020,away
bundd001,davic003,josec002,manct001,schoj001,machm001,hardj003,rickj001,jonea003,trumm001,BAL201706030,home
pricd001,ramih003,vazqc001,morem001,marrd001,sandp001,bogax001,benia002,bradj001,bettm001,BAL201706030,away
tillc001,trumm001,penaf001,davic003,schoj001,machm001,hardj003,manct001,jonea003,rickj001,BAL201706040,home
salec001,ramih003,leons001,morem001,marrd001,sandp001,bogax001,benia002,bradj001,bettm001,BAL201706040,away
gausk001,trumm001,josec002,davic003,schoj001,machm001,hardj003,manct001,jonea003,smits002,BAL201706060,home
novai001,bellj005,cervf001,jasoj001,harrj002,freed001,mercj002,fraza001,mccua001,polag001,BAL201706060,away
milew001,trumm001,josec002,davic003,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201706070,home
kuhlc001,freed001,diaze005,bellj005,morom001,harrj002,mercj002,osunj001,mccua001,polag001,BAL201706070,away
gausk001,trumm001,castw002,manct001,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201706160,home
martc006,fowld001,moliy001,carpm002,dejop001,gyorj001,diaza003,martj008,phamt001,piscs001,BAL201706160,away
milew001,trumm001,castw002,manct001,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201706170,home
waina001,carpm002,moliy001,martj008,dejop001,gyorj001,diaza003,phamt001,fowld001,huffc001,BAL201706170,away
jimeu001,trumm001,castw002,manct001,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201706180,home
lynnl001,gyorj001,moliy001,carpm002,dejop001,garcg002,diaza003,phamt001,fowld001,piscs001,BAL201706180,away
bundd001,trumm001,castw002,manct001,schoj001,machm001,tejar001,kim-h001,jonea003,smits002,BAL201706190,home
klubc001,encae001,gomey001,santc002,kipnj001,ramij003,lindf001,jacka001,zimmb001,chisl001,BAL201706190,away
tillc001,trumm001,castw002,manct001,schoj001,machm001,tejar001,kim-h001,jonea003,smits002,BAL201706200,home
tomlj001,encae001,gomey001,santc002,kipnj001,ramij003,lindf001,jacka001,zimmb001,chisl001,BAL201706200,away
gausk001,trumm001,josec002,manct001,schoj001,machm001,janip001,kim-h001,jonea003,smits002,BAL201706210,home
carrc003,encae001,perer003,santc002,kipnj001,ramij003,lindf001,jacka001,zimmb001,chisl001,BAL201706210,away
milew001,trumm001,castw002,manct001,schoj001,machm001,tejar001,kim-h001,gentc001,smits002,BAL201706220,home
clevm001,encae001,gomey001,santc002,kipnj001,ramij003,lindf001,gonze004,jacka001,robed003,BAL201706220,away
tillc001,trumm001,castw002,manct001,schoj001,machm001,tejar001,rickj001,jonea003,smits002,BAL201706300,home
farij001,plout001,ramow001,morrl001,beckt001,longe001,hecha001,dickc002,smitm007,souzs001,BAL201706300,away
bundd001,trumm001,castw002,manct001,schoj001,machm001,tejar001,rickj001,jonea003,gentc001,BAL201707010,home
odorj001,dickc002,ramow001,morrl001,featt001,longe001,hecha001,petes002,smitm007,souzs001,BAL201707010,away
gausk001,trumm001,josec002,manct001,schoj001,machm001,tejar001,rickj001,jonea003,smits002,BAL201707020,home
cobba001,souzs001,sucrj001,morrl001,featt001,longe001,beckt001,dickc002,smitm007,bourp001,BAL201707020,away
gausk001,trumm001,castw002,davic003,schoj001,machm001,tejar001,manct001,jonea003,rickj001,BAL201707140,home
